,ACCNUM,ACCLASS,INVOLVED,MOTIVE,X,Y,LATITUDE,LONGITUDE,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ROAD_CLASS,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,DISTRICT,NEIGHBOURHOOD,HOOD_ID,LOCCOORD,PEOPLE_COUNT,FATAL_INJURY_COUNT,MAJOR_INJURY_COUNT,MINOR_INJURY_COUNT,NO_INJURY_COUNT,NULL_INJURY_COUNT,DRIVERS_COUNT,PEDESTRIAN_COUNT,PASSENGER_COUNT,CYCLIST_COUNT,OTHER_INVTYPE_COUNT,NULL_INVTYPE_COUNT,PEOPLE_VEH_COUNT,AUTOMOBILE_VEH_COUNT,RECREATIONAL_VEH_COUNT,OTHER_VEH_COUNT,NULL_VEH_COUNT,PEDESTRIAN,Season,Weekday,Hour
4221,5000995174,Fatal,"Cyclist, Automobile",Not Recorded,-8838388.41480028,5415240.33849623,43.674712,-79.396594,2015-06-13 23:20:00,Spring,2015,6,June,Saturday,23,23:00 to 23:59,Major Arterial,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Cyclist Collisions,Toronto and East York,Annex (95),95,Intersection,2,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,Spring,5,23
4234,5001079056,Fatal,"Pedestrian, Automobile",Not Recorded,-8843959.84399499,5417102.84894791,43.686812,-79.44664300000002,2015-06-26 21:50:00,Summer,2015,6,June,Friday,21,21:00 to 21:59,Major Arterial,<Null>,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Toronto and East York,Oakwood Village (107),107,Mid-Block,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Summer,4,21
4243,5001136090,Fatal,"Automobile, Motorcycle","Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8853109.41558227,5407790.97368982,43.626292,-79.528835,2015-07-06 00:08:00,Summer,2015,7,July,Monday,0,00:00 to 00:59,Major Arterial,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Turning Movement,Etobicoke York,Islington-City Centre West (14),14,Intersection,3,1,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,Summer,0,0
4248,5001196464,Fatal,"Pedestrian, Automobile",Aggressive and Distracted Driving Collision,-8838146.40622729,5423091.7496723,43.725703,-79.39442,2015-07-14 21:37:00,Summer,2015,7,July,Tuesday,21,21:00 to 21:59,Local,<Null>,Stop Sign,Other,"Dark, artificial",Other,Pedestrian Collisions,North York,Lawrence Park South (103),103,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Summer,1,21
4263,5001276114,Fatal,"Automobile, Motorcycle","Speeding  Related Collision, Aggressive and Distracted Driving Collision",-8811604.94531542,5433412.63057849,43.792666,-79.15599399999998,2015-07-26 13:28:00,Summer,2015,7,July,Sunday,13,13:00 to 13:59,Minor Arterial,Non Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Scarborough,Centennial Scarborough (133),133,Mid-Block,4,1,0,0,3,0,3,0,1,0,0,0,0,2,1,0,0,0,Summer,6,13
4267,5001332825,Fatal,"Automobile, Truck",Not Recorded,-8847624.5929514,5421496.47544403,43.715346,-79.479564,2015-08-04 11:36:00,Summer,2015,8,August,Tuesday,11,11:00 to 11:59,Major Arterial,Non Intersection,No Control,Clear,Daylight,Dry,Sideswipe,Etobicoke York,Maple Leaf (29),29,Mid-Block,3,1,0,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,Summer,1,11
4272,5001366372,Fatal,"Pedestrian, Automobile",Not Recorded,-8813278.85649848,5435909.08316013,43.808852,-79.171031,2015-08-09 21:10:00,Summer,2015,8,August,Sunday,21,21:00 to 21:59,Collector,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Scarborough,Rouge (131),131,Mid-Block,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Summer,6,21
4282,5001405584,Fatal,Automobile,"Red Light Related  Collision, Alcohol  Related Collision, Aggressive and Distracted Driving Collision",-8820429.13003111,5428023.79545421,43.757712,-79.235263,2015-08-16 00:42:00,Summer,2015,8,August,Sunday,0,00:00 to 00:59,Major Arterial,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Angle,Scarborough,Woburn (137),137,Intersection,5,1,1,3,0,0,3,0,2,0,0,0,0,3,0,0,0,0,Summer,6,0
4283,5001407837,Fatal,Automobile,"Red Light Related  Collision, Aggressive and Distracted Driving Collision",-8836684.78131318,5424213.55109449,43.732985,-79.38129,2015-08-16 12:10:00,Summer,2015,8,August,Sunday,12,12:00 to 12:59,Major Arterial,Intersection Related,Traffic Signal,Clear,Daylight,Dry,Turning Movement,North York,Bridle Path-Sunnybrook-York Mills (41),41,Intersection,2,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,Summer,6,12
4291,5001457314,Fatal,"Pedestrian, Automobile",Not Recorded,-8844669.83970727,5433125.02518831,43.790801,-79.45302099999998,2015-08-24 13:25:00,Summer,2015,8,August,Monday,13,13:00 to 13:59,Major Arterial,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,North York,Westminster-Branson (35),35,Intersection,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,Summer,0,13
