ID,CAMERA_ID,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,LONGITUDE,LATITUDE,ACTIVATION_TIME
82,20851,13443562.0,Finch Ave E,Birchmount Rd,-79.3059809952,43.7989979995,2017-03-10 05:00:00
91,20860,13463674.0,Jarvis St,Isabella St,-79.379452005,43.6688930027,2017-03-13 04:00:00
121,20890,13453141.0,Warden Ave,Ashtonbee Rd,-79.2887619944,43.7307110017,2017-03-13 04:00:00
131,20900,13454662.0,Avenue Rd,Lawrence Ave W,-79.4156090061,43.722255002,2017-03-14 04:00:00
94,20863,13442036.0,McCowan Rd,McNicoll Ave,-79.2719800058,43.8179410083,2017-03-14 04:00:00
132,20901,13443081.0,Pharmacy Ave,McNicoll Ave,-79.3307340026,43.8041220005,2017-03-24 04:00:00
129,20898,13448547.0,Lawrence Ave E,Markham Rd,-79.2253240008,43.7598219975,2017-03-24 04:00:00
124,20893,13442502.0,Finch Ave E,Middlefield Rd,-79.2576989968,43.8098879984,2017-03-24 04:00:00
134,20903,13444062.0,Markham Rd,Sheppard Ave E,-79.2387520051,43.7938690047,2017-04-11 04:00:00
99,20868,13456327.0,Rexdale Blvd,Martin Grove Rd,-79.5811170102,43.7138439993,2017-04-11 04:00:00
127,20896,13469508.0,The Queensway,Royal York Rd,-79.5026320023,43.6263360043,2017-06-05 04:00:00
72,20841,13466117.0,Adelaide St E,Parliament St,-79.3635979984,43.6535639991,2017-06-05 04:00:00
103,20872,13469914.0,Islington Ave,Evans Ave,-79.5113280069,43.6183930021,2017-06-05 04:00:00
102,20871,13447779.0,Dufferin St,Finch Ave W,-79.4669269987,43.7688520058,2017-06-05 04:00:00
108,20877,13442522.0,Neilson Rd,McLevin Ave,-79.2216579987,43.8091730021,2017-06-05 04:00:00
117,20886,13452733.0,Islington Ave,Albion Rd,-79.565305007,43.7372359966,2017-06-19 04:00:00
104,20873,13463137.0,Eglinton Ave W,Martin Grove Rd,-79.5631760035,43.6744770028,2017-07-10 04:00:00
88,20857,13452362.0,Albion Rd,Kipling Ave,-79.5804020029,43.7397240059,2017-07-10 04:00:00
106,20875,13468970.0,Lake Shore Blvd W,Jameson Ave,-79.4345630019,43.6333410037,2017-07-10 04:00:00
74,20843,13460075.0,Dixon Rd,Martin Grove Rd,-79.5708379982,43.6915920028,2017-07-10 04:00:00
135,20904,13445096.0,Don Mills Rd,Van Horne Ave,-79.3530289956,43.7873450079,2017-07-10 04:00:00
95,20864,13463362.0,St Clair Ave W,Gunns Rd,-79.4711240064,43.6717810093,2017-07-10 04:00:00
93,20862,13464879.0,Dundas St E,River St,-79.3581619937,43.6611979985,2017-07-10 04:00:00
101,20870,13460975.0,St Clair Ave W,Spadina Rd,-79.411169006,43.684625004,2017-07-14 04:00:00
79,20848,13447964.0,Sheppard Ave E,Bayview Ave,-79.3880560012,43.7665890046,2017-07-14 04:00:00
71,20840,13466730.0,University Ave,Richmond St W,-79.3862910071,43.650086999,2017-07-24 04:00:00
77,20846,13468307.0,Lake Shore Blvd W,Spadina Ave,-79.3922259987,43.6384530046,2017-08-08 04:00:00
109,20878,13467394.0,Simcoe St,Wellington St W,-79.3855610006,43.6460530113,2017-08-08 04:00:00
123,20892,13442651.0,Birchmount Rd,McNicoll Ave,-79.3111679979,43.8086369999,2017-08-11 04:00:00
120,20889,13463893.0,St Clair Ave W,Runnymede Rd,-79.4835639906,43.6689929997,2017-08-11 04:00:00
133,20902,13445553.0,Markham Rd,Progress Ave,-79.2338900026,43.781745998,2017-08-11 04:00:00
119,20888,,,,-79.4200839984,43.7979990068,2017-08-11 04:00:00
75,20844,13466604.0,University Ave,Queen St W,-79.3866280047,43.6508519992,2017-08-31 04:00:00
87,20856,13467345.0,University Ave,Wellington St W,-79.3840989923,43.6463830047,2017-09-06 04:00:00
126,20895,13468134.0,Spadina Ave,Bremner Blvd,-79.3930040015,43.6405620021,2017-09-28 04:00:00
138,20907,13442363.0,Kennedy Rd,McNicoll Ave,-79.3019450092,43.8121360061,2017-09-28 04:00:00
128,20897,13468803.0,Lake Shore Blvd W,Strachan Ave,-79.4087450089,43.6344420022,2017-10-06 04:00:00
78,20847,13469683.0,Lake Shore Blvd W,Park Lawn Rd,-79.4812110097,43.6229680112,2017-10-06 04:00:00
100,20869,13469998.0,The Queensway,The East Mall,-79.5462869918,43.6164190043,2017-10-06 04:00:00
116,20885,13458367.0,Weston Rd,Lawrence Ave W,-79.5162009996,43.7001579982,2017-10-20 04:00:00
115,20884,13456668.0,Rexdale Blvd,Kipling Ave,-79.5667019991,43.7117030085,2017-10-20 04:00:00
73,20842,13466931.0,University Ave,Adelaide St W,-79.3855560014,43.6488690023,2017-10-20 04:00:00
110,20879,13448840.0,Jane St,Stong Crt,-79.5188219995,43.7619170059,2017-10-20 04:00:00
130,20899,13455910.0,Jane St,Falstaff Ave,-79.5072239973,43.7154560102,2017-10-20 04:00:00
80,20849,13447719.0,Steeles Ave W,Weston Rd,-79.5465260053,43.770281001,2017-10-30 04:00:00
96,20865,13467505.0,Spadina Ave,King St W,-79.3950459963,43.645470003,2017-11-03 04:00:00
90,20859,13444088.0,Finch Ave E,Gordon Baker Rd,-79.3412610046,43.795147,2017-11-30 05:00:00
70,20839,14228400.0,Kennedy Rd,401 C E Kennedy Rd Ramp,-79.2838680047,43.7731870022,2017-12-19 05:00:00
83,20852,13468751.0,Bloor St W,The East Mall,-79.5567089997,43.636929001,2017-12-19 05:00:00
125,20894,13459022.0,Dixon Rd,Islington Ave,-79.5467310031,43.6970490024,2017-12-19 05:00:00
118,20887,13469672.0,The Queensway,Islington Ave,-79.514782999,43.6235920007,2018-02-16 05:00:00
139,20908,13446212.0,Markham Rd,Ellesmere Rd,-79.2317560025,43.7764360087,2018-02-16 05:00:00
89,20858,13469800.0,The Queensway,Kipling Ave,-79.5267410053,43.6209179957,2018-09-05 04:00:00
140,20909,13466139.0,Bloor St W,Keele St,-79.4600479973,43.654707001,2018-09-05 04:00:00
142,20911,13445306.0,Steeles Ave W,Dufferin St,-79.4700889909,43.7872830029,2018-09-05 04:00:00
143,20912,13463882.0,Dufferin St,Dupont St,-79.4390350097,43.6684640113,2018-11-28 05:00:00
144,20913,13467841.0,Bloor St W,Islington Ave,-79.5234379985,43.6446480025,2018-11-28 05:00:00
145,20914,,,,-79.614089995,43.7554540003,2019-03-01 05:00:00
147,20916,13447608.0,Steeles Ave W,Signet Dr,-79.543448001,43.7709200085,2019-06-03 04:00:00
141,20910,13461355.0,Eglinton Ave W,Scarlett Rd,-79.5114570043,43.6839620013,2019-06-03 04:00:00
