INDEX_,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ACCNUM,INVTYPE,INVAGE,INJURY,DISTRICT,NEIGHBOURHOOD,VEHTYPE,VEHICLE_CATEGORY,ALCOHOL
7542387,2012-09-24 16:20:00,Autumn,2012,9,September,Monday,16,16:00 to 16:59,1316650,Driver,30 to 34,Major,Scarborough,Kennedy Park (124),"Automobile, Station Wagon",Automobile,<Null>
7485220,2012-09-25 11:10:00,Autumn,2012,9,September,Tuesday,11,11:00 to 11:59,1323889,Vehicle Owner,unknown,<Null>,Toronto and East York,Bay Street Corridor (76),Other,Other,<Null>
7485221,2012-09-25 11:10:00,Autumn,2012,9,September,Tuesday,11,11:00 to 11:59,1323889,Driver,45 to 49,None,Toronto and East York,Bay Street Corridor (76),"Automobile, Station Wagon",Automobile,<Null>
7485222,2012-09-25 11:10:00,Autumn,2012,9,September,Tuesday,11,11:00 to 11:59,1323889,Cyclist,50 to 54,Major,Toronto and East York,Bay Street Corridor (76),Bicycle,People,<Null>
7485583,2012-09-27 20:55:00,Autumn,2012,9,September,Thursday,20,20:00 to 20:59,1324043,Vehicle Owner,unknown,<Null>,Toronto and East York,Waterfront Communities-The Island (77),Other,Other,<Null>
7485584,2012-09-27 20:55:00,Autumn,2012,9,September,Thursday,20,20:00 to 20:59,1324043,Driver,45 to 49,None,Toronto and East York,Waterfront Communities-The Island (77),"Automobile, Station Wagon",Automobile,<Null>
7485585,2012-09-27 20:55:00,Autumn,2012,9,September,Thursday,20,20:00 to 20:59,1324043,Cyclist,35 to 39,Major,Toronto and East York,Waterfront Communities-The Island (77),Bicycle,People,<Null>
7487658,2012-09-28 09:53:00,Autumn,2012,9,September,Friday,09,09:00 to 09:59,1324915,Vehicle Owner,unknown,<Null>,Toronto and East York,Waterfront Communities-The Island (77),Other,Other,<Null>
7487659,2012-09-28 09:53:00,Autumn,2012,9,September,Friday,09,09:00 to 09:59,1324915,Driver,50 to 54,None,Toronto and East York,Waterfront Communities-The Island (77),"Automobile, Station Wagon",Automobile,<Null>
7487660,2012-09-28 09:53:00,Autumn,2012,9,September,Friday,09,09:00 to 09:59,1324915,Pedestrian,35 to 39,Major,Toronto and East York,Waterfront Communities-The Island (77),Other,Other,<Null>
7529283,2012-09-28 13:22:00,Autumn,2012,9,September,Friday,13,13:00 to 13:59,1324964,Vehicle Owner,unknown,<Null>,North York,Lawrence Park South (103),<Null>,Null,<Null>
7529284,2012-09-28 13:22:00,Autumn,2012,9,September,Friday,13,13:00 to 13:59,1324964,Driver,20 to 24,None,North York,Lawrence Park South (103),"Automobile, Station Wagon",Automobile,<Null>
7529285,2012-09-28 13:22:00,Autumn,2012,9,September,Friday,13,13:00 to 13:59,1324964,Moped Driver,25 to 29,Major,North York,Lawrence Park South (103),Moped,Recreational,<Null>
7470482,2012-09-30 10:44:00,Autumn,2012,9,September,Sunday,10,10:00 to 10:59,1317668,Driver,35 to 39,None,North York,Oakwood Village (107),"Automobile, Station Wagon",Automobile,<Null>
7470483,2012-09-30 10:44:00,Autumn,2012,9,September,Sunday,10,10:00 to 10:59,1317668,Pedestrian,20 to 24,Major,North York,Oakwood Village (107),Other,Other,<Null>
7559877,2012-10-01 10:00:00,Autumn,2012,10,October,Monday,10,10:00 to 10:59,1324885,Driver,60 to 64,Minor,North York,Banbury-Don Mills (42),"Automobile, Station Wagon",Automobile,<Null>
7559878,2012-10-01 10:00:00,Autumn,2012,10,October,Monday,10,10:00 to 10:59,1324885,Driver,50 to 54,None,North York,Banbury-Don Mills (42),"Automobile, Station Wagon",Automobile,<Null>
7559879,2012-10-01 10:00:00,Autumn,2012,10,October,Monday,10,10:00 to 10:59,1324885,Other Property Owner,unknown,<Null>,North York,Banbury-Don Mills (42),Other,Other,<Null>
7559880,2012-10-01 10:00:00,Autumn,2012,10,October,Monday,10,10:00 to 10:59,1324885,Pedestrian,85 to 89,Major,North York,Banbury-Don Mills (42),Other,Other,<Null>
